"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.08.2024","2,178","2,123","2,277","2,099","433,69K","2,59%"
"11.08.2024","2,123","2,173","2,301","2,111","879,52K","-0,93%"
"04.08.2024","2,143","1,950","2,187","1,882","947,48K","8,95%"
"28.07.2024","1,967","2,016","2,149","1,856","709,02K","-1,94%"
"21.07.2024","2,006","2,104","2,270","1,994","429,46K","-5,73%"
"14.07.2024","2,128","2,273","2,285","2,015","794,39K","-8,63%"
"07.07.2024","2,329","2,270","2,448","2,249","715,94K","-0,89%"
"30.06.2024","2,350","2,581","2,599","2,347","372,57K","-9,65%"
"23.06.2024","2,601","2,670","2,844","2,594","416,53K","-3,84%"
"16.06.2024","2,705","2,846","2,948","2,672","565,71K","-6,11%"
"09.06.2024","2,881","2,980","3,159","2,862","1,09M","-1,27%"
"02.06.2024","2,918","2,645","2,967","2,573","1,06M","12,79%"
"26.05.2024","2,587","2,503","2,682","2,417","387,87K","2,66%"
"19.05.2024","2,520","2,659","2,924","2,493","738,74K","-4,04%"
"12.05.2024","2,626","2,250","2,654","2,214","908,42K","16,61%"
"05.05.2024","2,252","2,170","2,344","2,133","846,39K","5,14%"
"28.04.2024","2,142","1,923","2,160","1,913","808,34K","32,71%"
"21.04.2024","1,614","1,765","1,848","1,482","317,15K","-7,88%"
"14.04.2024","1,752","1,772","1,806","1,649","869,31K","-1,02%"
"07.04.2024","1,770","1,770","1,943","1,731","999,32K","-11,94%"
"31.03.2024","2,010","1,999","2,136","1,958","360,18K","14,01%"
"24.03.2024","1,763","1,664","1,789","1,481","388,78K","6,27%"
"17.03.2024","1,659","1,689","1,769","1,647","502,70K","0,24%"
"10.03.2024","1,655","1,805","1,841","1,643","859,05K","-8,31%"
"03.03.2024","1,805","1,873","2,009","1,755","752,20K","-1,63%"
"25.02.2024","1,835","1,660","1,918","1,511","510,75K","14,47%"
"18.02.2024","1,603","1,533","1,792","1,522","507,52K","-0,37%"
"11.02.2024","1,609","1,805","1,863","1,573","1,09M","-12,89%"
"04.02.2024","1,847","2,110","2,127","1,817","962,26K","-11,16%"
"28.01.2024","2,079","2,680","2,760","2,021","447,53K","-23,34%"
"21.01.2024","2,712","2,380","2,884","2,311","301,22K","7,66%"
"14.01.2024","2,519","3,113","3,189","2,514","530,31K","-23,97%"
"07.01.2024","3,313","2,950","3,392","2,694","1,08M","14,52%"
"31.12.2023","2,893","2,605","2,906","2,524","505,24K","15,08%"
"24.12.2023","2,514","2,545","2,722","2,412","170,75K","-3,68%"
"17.12.2023","2,610","2,503","2,620","2,385","534,54K","4,78%"
"10.12.2023","2,491","2,490","2,544","2,235","968,43K","-3,49%"
"03.12.2023","2,581","2,728","2,786","2,489","748,53K","-8,28%"
"26.11.2023","2,814","2,778","2,870","2,669","360,52K","-1,44%"
"19.11.2023","2,855","2,957","2,958","2,798","310,72K","-3,55%"
"12.11.2023","2,960","3,064","3,275","2,893","805,56K","-2,41%"
"05.11.2023","3,033","3,373","3,407","2,989","687,25K","-13,71%"
"29.10.2023","3,515","3,400","3,630","3,318","627,63K","11,09%"
"22.10.2023","3,164","2,905","3,401","2,861","284,63K","9,14%"
"15.10.2023","2,899","3,185","3,185","2,880","560,11K","-10,41%"
"08.10.2023","3,236","3,350","3,471","3,203","750,13K","-3,06%"
"01.10.2023","3,338","2,958","3,364","2,820","628,89K","13,96%"
"24.09.2023","2,929","2,657","2,997","2,552","218,82K","11,07%"
"17.09.2023","2,637","2,624","2,872","2,595","533,39K","-0,26%"
"10.09.2023","2,644","2,610","2,823","2,541","658,86K","1,50%"
"03.09.2023","2,605","2,700","2,708","2,500","435,33K","-5,79%"
"27.08.2023","2,765","2,635","2,865","2,515","383,46K","8,86%"
"20.08.2023","2,540","2,560","2,660","2,425","384,52K","-0,43%"
"13.08.2023","2,551","2,776","2,863","2,524","514,45K","-7,91%"
"06.08.2023","2,770","2,579","3,018","2,571","958,47K","7,49%"
"30.07.2023","2,577","2,659","2,693","2,457","520,16K","-2,31%"
"23.07.2023","2,638","2,721","2,767","2,463","129,44K","-2,76%"
"16.07.2023","2,713","2,548","2,789","2,484","607,85K","6,85%"
"09.07.2023","2,539","2,570","2,750","2,492","552,73K","-1,67%"
"02.07.2023","2,582","2,729","2,793","2,536","313,83K","-7,72%"
"25.06.2023","2,798","2,758","2,839","2,593","222,68K","2,53%"
"18.06.2023","2,729","2,629","2,740","2,448","432,79K","3,69%"
"11.06.2023","2,632","2,304","2,653","2,206","755,69K","16,77%"
"04.06.2023","2,254","2,214","2,380","2,173","697,05K","3,78%"
"28.05.2023","2,172","2,417","2,448","2,136","545,99K","-0,41%"
"21.05.2023","2,181","2,568","2,569","2,143","254,92K","-15,63%"
"14.05.2023","2,585","2,265","2,685","2,250","603,74K","14,08%"
